✓ Initialized. View run at 
https://modal.com/apps/sentra/main/ap-b0BaUF2jBlibzWOZ8yS5XU
✓ Created objects.
├── 🔨 Created mount /Users/sonia/Documents/GitHub/autoresearch/run_modal.py
├── 🔨 Created function setup_data.
└── 🔨 Created function run_training.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 50,331,648
  lm_head                 : 6,291,456
  transformer_matrices    : 56,623,872
  scalars                 : 16
  total                   : 119,538,448
Estimated FLOPs per token: 4.187796e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011235 | lrm: 1.00 | dt: 26115ms | tok/sec: 10,037 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00068 (4.9%) | loss: 3.916807 | lrm: 0.95 | dt: 261ms | tok/sec: 1,005,345 | mfu: 42.5% | epoch: 1 | remaining: 285s    
step 00069 (5.0%) | loss: 3.899613 | lrm: 0.95 | dt: 257ms | tok/sec: 1,018,465 | mfu: 43.1% | epoch: 1 | remaining: 285s    
step 00070 (5.1%) | loss: 3.884121 | lrm: 0.95 | dt: 259ms | tok/sec: 1,011,031 | mfu: 42.8% | epoch: 1 | remaining: 284s    
step 00071 (5.2%) | loss: 3.871331 | lrm: 0.95 | dt: 261ms | tok/sec: 1,004,891 | mfu: 42.5% | epoch: 1 | remaining: 284s    
step 00072 (5.3%) | loss: 3.860036 | lrm: 0.95 | dt: 260ms | tok/sec: 1,007,691 | mfu: 42.6% | epoch: 1 | remaining: 284s    
step 00073 (5.4%) | loss: 3.846691 | lrm: 0.95 | dt: 261ms | tok/sec: 1,002,552 | mfu: 42.4% | epoch: 1 | remaining: 284s    
step 00074 (5.5%) | loss: 3.837793 | lrm: 0.95 | dt: 258ms | tok/sec: 1,016,497 | mfu: 43.0% | epoch: 1 | remaining: 283s    
step 00075 (5.5%) | loss: 3.828212 | lrm: 0.95 | dt: 259ms | tok/sec: 1,010,727 | mfu: 42.8% | epoch: 1 | remaining: 283s    
step 00076 (5.6%) | loss: 3.816677 | lrm: 0.94 | dt: 262ms | tok/sec: 1,001,332 | mfu: 42.4% | epoch: 1 | remaining: 283s    
step 00077 (5.7%) | loss: 3.806360 | lrm: 0.94 | dt: 262ms | tok/sec: 1,001,080 | mfu: 42.4% | epoch: 1 | remaining: 283s    
step 00078 (5.8%) | loss: 3.799195 | lrm: 0.94 | dt: 259ms | tok/sec: 1,011,357 | mfu: 42.8% | epoch: 1 | remaining: 282s    
step 00079 (5.9%) | loss: 3.792749 | lrm: 0.94 | dt: 258ms | tok/sec: 1,017,293 | mfu: 43.1% | epoch: 1 | remaining: 282s    
step 00080 (6.0%) | loss: 3.778317 | lrm: 0.94 | dt: 261ms | tok/sec: 1,006,090 | mfu: 42.6% | epoch: 1 | remaining: 282s    
step 00081 (6.1%) | loss: 3.765258 | lrm: 0.94 | dt: 260ms | tok/sec: 1,006,796 | mfu: 42.6% | epoch: 1 | remaining: 282s    
step 00082 (6.1%) | loss: 3.751383 | lrm: 0.94 | dt: 259ms | tok/sec: 1,011,324 | mfu: 42.8% | epoch: 1 | remaining: 281s    
step 00083 (6.2%) | loss: 3.741066 | lrm: 0.94 | dt: 259ms | tok/sec: 1,011,055 | mfu: 42.8% | epoch: 1 | remaining: 281s    
step 00084 (6.3%) | loss: 3.733763 | lrm: 0.94 | dt: 261ms | tok/sec: 1,006,113 | mfu: 42.6% | epoch: 1 | remaining: 281s    
step 00085 (6.4%) | loss: 3.726177 | lrm: 0.94 | dt: 261ms | tok/sec: 1,004,886 | mfu: 42.5% | epoch: 1 | remaining: 281s    
step 00086 (6.5%) | loss: 3.717168 | lrm: 0.94 | dt: 258ms | tok/sec: 1,014,686 | mfu: 42.9% | epoch: 1 | remaining: 280s    
step 00087 (6.6%) | loss: 3.709316 | lrm: 0.93 | dt: 261ms | tok/sec: 1,004,740 | mfu: 42.5% | epoch: 1 | remaining: 280s    
step 00088 (6.7%) | loss: 3.697709 | lrm: 0.93 | dt: 260ms | tok/sec: 1,007,444 | mfu: 42.6% | epoch: 1 | remaining: 280s    
step 00089 (6.8%) | loss: 3.691798 | lrm: 0.93 | dt: 257ms | tok/sec: 1,018,345 | mfu: 43.1% | epoch: 1 | remaining: 279s    
step 00090 (6.8%) | loss: 3.683559 | lrm: 0.93 | dt: 262ms | tok/sec: 1,000,199 | mfu: 42.3% | epoch: 1 | remaining: 279s    
step 00091 (6.9%) | loss: 3.678753 | lrm: 0.93 | dt: 260ms | tok/sec: 1,006,970 | mfu: 42.6% | epoch: 1 | remaining: 279s    
step 00092 (7.0%) | loss: 3.667161 | lrm: 0.93 | dt: 259ms | tok/sec: 1,013,621 | mfu: 42.9% | epoch: 1 | remaining: 279s    
step 00093 (7.1%) | loss: 3.662043 | lrm: 0.93 | dt: 259ms | tok/sec: 1,012,219 | mfu: 42.8% | epoch: 1 | remaining: 278s    
step 00094 (7.2%) | loss: 3.651910 | lrm: 0.93 | dt: 261ms | tok/sec: 1,006,183 | mfu: 42.6% | epoch: 1 | remaining: 278s    
step 00095 (7.3%) | loss: 3.635276 | lrm: 0.93 | dt: 261ms | tok/sec: 1,003,949 | mfu: 42.5% | epoch: 1 | remaining: 278s    
step 00096 (7.4%) | loss: 3.626601 | lrm: 0.93 | dt: 259ms | tok/sec: 1,010,410 | mfu: 42.8% | epoch: 1 | remaining: 278s    
step 00097 (7.4%) | loss: 3.625181 | lrm: 0.93 | dt: 257ms | tok/sec: 1,018,113 | mfu: 43.1% | epoch: 1 | remaining: 277s    
step 00098 (7.5%) | loss: 3.621364 | lrm: 0.93 | dt: 261ms | tok/sec: 1,002,945 | mfu: 42.4% | epoch: 1 | remaining: 277s    
step 00099 (7.6%) | loss: 3.616322 | lrm: 0.92 | dt: 262ms | tok/sec: 998,678 | mfu: 42.3% | epoch: 1 | remaining: 277s    
step 00100 (7.7%) | loss: 3.610868 | lrm: 0.92 | dt: 258ms | tok/sec: 1,016,304 | mfu: 43.0% | epoch: 1 | remaining: 277s    
step 00101 (7.8%) | loss: 3.603644 | lrm: 0.92 | dt: 259ms | tok/sec: 1,011,455 | mfu: 42.8% | epoch: 1 | remaining: 276s    
step 00102 (7.9%) | loss: 3.597288 | lrm: 0.92 | dt: 259ms | tok/sec: 1,011,037 | mfu: 42.8% | epoch: 1 | remaining: 276s    
step 00103 (8.0%) | loss: 3.594065 | lrm: 0.92 | dt: 263ms | tok/sec: 998,233 | mfu: 42.2% | epoch: 1 | remaining: 276s    
step 00104 (8.1%) | loss: 3.587763 | lrm: 0.92 | dt: 259ms | tok/sec: 1,012,032 | mfu: 42.8% | epoch: 1 | remaining: 276s    
step 00105 (8.1%) | loss: 3.580951 | lrm: 0.92 | dt: 259ms | tok/sec: 1,010,920 | mfu: 42.8% | epoch: 1 | remaining: 275s    
step 00106 (8.2%) | loss: 3.575529 | lrm: 0.92 | dt: 259ms | tok/sec: 1,010,307 | mfu: 42.8% | epoch: 1 | remaining: 275s    
step 00107 (8.3%) | loss: 3.573323 | lrm: 0.92 | dt: 261ms | tok/sec: 1,006,264 | mfu: 42.6% | epoch: 1 | remaining: 275s    
step 00108 (8.4%) | loss: 3.571672 | lrm: 0.92 | dt: 261ms | tok/sec: 1,005,191 | mfu: 42.5% | epoch: 1 | remaining: 275s    
step 00109 (8.5%) | loss: 3.569774 | lrm: 0.92 | dt: 260ms | tok/sec: 1,007,881 | mfu: 42.7% | epoch: 1 | remaining: 274s    
step 00110 (8.6%) | loss: 3.568404 | lrm: 0.92 | dt: 259ms | tok/sec: 1,011,482 | mfu: 42.8% | epoch: 1 | remaining: 274s    
step 00111 (8.7%) | loss: 3.562771 | lrm: 0.91 | dt: 258ms | tok/sec: 1,014,368 | mfu: 42.9% | epoch: 1 | remaining: 274s    
step 00112 (8.7%) | loss: 3.555191 | lrm: 0.91 | dt: 259ms | tok/sec: 1,011,401 | mfu: 42.8% | epoch: 1 | remaining: 273s    
step 00113 (8.8%) | loss: 3.555108 | lrm: 0.91 | dt: 261ms | tok/sec: 1,005,173 | mfu: 42.5% | epoch: 1 | remaining: 273s    
step 00114 (8.9%) | loss: 3.550156 | lrm: 0.91 | dt: 259ms | tok/sec: 1,011,079 | mfu: 42.8% | epoch: 1 | remaining: 273s    
step 00115 (9.0%) | loss: 3.545478 | lrm: 0.91 | dt: 259ms | tok/sec: 1,010,481 | mfu: 42.8% | epoch: 1 | remaining: 273s    
step 00116 (9.1%) | loss: 3.538999 | lrm: 0.91 | dt: 259ms | tok/sec: 1,012,070 | mfu: 42.8% | epoch: 1 | remaining: 272s    
step 00117 (9.2%) | loss: 3.533046 | lrm: 0.91 | dt: 263ms | tok/sec: 997,570 | mfu: 42.2% | epoch: 1 | remaining: 272s    
step 00118 (9.3%) | loss: 3.530151 | lrm: 0.91 | dt: 261ms | tok/sec: 1,004,017 | mfu: 42.5% | epoch: 1 | remaining: 272s    
step 00119 (9.4%) | loss: 3.530356 | lrm: 0.91 | dt: 259ms | tok/sec: 1,012,448 | mfu: 42.8% | epoch: 1 | remaining: 272s    
step 00120 (9.4%) | loss: 3.525045 | lrm: 0.91 | dt: 261ms | tok/sec: 1,006,290 | mfu: 42.6% | epoch: 1 | remaining: 271s    
step 00121 (9.5%) | loss: 3.522079 | lrm: 0.91 | dt: 260ms | tok/sec: 1,008,239 | mfu: 42.7% | epoch: 1 | remaining: 271s    
step 00122 (9.6%) | loss: 3.517881 | lrm: 0.90 | dt: 257ms | tok/sec: 1,018,330 | mfu: 43.1% | epoch: 1 | remaining: 271s    
step 00123 (9.7%) | loss: 3.512028 | lrm: 0.90 | dt: 260ms | tok/sec: 1,006,697 | mfu: 42.6% | epoch: 1 | remaining: 271s    
step 00124 (9.8%) | loss: 3.512709 | lrm: 0.90 | dt: 257ms | tok/sec: 1,018,179 | mfu: 43.1% | epoch: 1 | remaining: 270s    
step 00125 (9.9%) | loss: 3.512236 | lrm: 0.90 | dt: 262ms | tok/sec: 1,001,431 | mfu: 42.4% | epoch: 1 | remaining: 270s    
step 00126 (10.0%) | loss: 3.508107 | lrm: 0.90 | dt: 260ms | tok/sec: 1,008,249 | mfu: 42.7% | epoch: 1 | remaining: 270s    
step 00127 (10.0%) | loss: 3.506288 | lrm: 0.90 | dt: 259ms | tok/sec: 1,013,078 | mfu: 42.9% | epoch: 1 | remaining: 270s    
step 00128 (10.1%) | loss: 3.498677 | lrm: 0.90 | dt: 261ms | tok/sec: 1,004,748 | mfu: 42.5% | epoch: 1 | remaining: 269s    
step 00129 (10.2%) | loss: 3.495630 | lrm: 0.90 | dt: 258ms | tok/sec: 1,014,537 | mfu: 42.9% | epoch: 1 | remaining: 269s    
step 00130 (10.3%) | loss: 3.490556 | lrm: 0.90 | dt: 260ms | tok/sec: 1,008,082 | mfu: 42.7% | epoch: 1 | remaining: 269s    
step 00131 (10.4%) | loss: 3.481161 | lrm: 0.90 | dt: 259ms | tok/sec: 1,012,805 | mfu: 42.9% | epoch: 1 | remaining: 269s    
step 00132 (10.5%) | loss: 3.480568 | lrm: 0.90 | dt: 262ms | tok/sec: 1,001,456 | mfu: 42.4% | epoch: 1 | remaining: 268s    
step 00133 (10.6%) | loss: 3.480003 | lrm: 0.90 | dt: 261ms | tok/sec: 1,005,133 | mfu: 42.5% | epoch: 1 | remaining: 268s    
step 00134 (10.7%) | loss: 3.481183 | lrm: 0.89 | dt: 259ms | tok/sec: 1,014,023 | mfu: 42.9% | epoch: 1 | remaining: 268s    
step 00135 (10.7%) | loss: 3.479554 | lrm: 0.89 | dt: 258ms | tok/sec: 1,014,933 | mfu: 43.0% | epoch: 1 | remaining: 268s    
step 00136 (10.8%) | loss: 3.477710 | lrm: 0.89 | dt: 262ms | tok/sec: 1,001,644 | mfu: 42.4% | epoch: 1 | remaining: 267s    
step 00137 (10.9%) | loss: 3.476591 | lrm: 0.89 | dt: 262ms | tok/sec: 1,000,292 | mfu: 42.3% | epoch: 1 | remaining: 267s    
step 00138 (11.0%) | loss: 3.475394 | lrm: 0.89 | dt: 258ms | tok/sec: 1,017,136 | mfu: 43.0% | epoch: 1 | remaining: 267s    
step 00139 (11.1%) | loss: 3.475217 | lrm: 0.89 | dt: 258ms | tok/sec: 1,014,890 | mfu: 43.0% | epoch: 1 | remaining: 266s    
step 00140 (11.2%) | loss: 3.470808 | lrm: 0.89 | dt: 261ms | tok/sec: 1,004,807 | mfu: 42.5% | epoch: 1 | remaining: 266s    
step 00141 (11.3%) | loss: 3.467189 | lrm: 0.89 | dt: 261ms | tok/sec: 1,002,688 | mfu: 42.4% | epoch: 1 | remaining: 266s    
step 00142 (11.3%) | loss: 3.461665 | lrm: 0.89 | dt: 259ms | tok/sec: 1,014,085 | mfu: 42.9% | epoch: 1 | remaining: 266s    
step 00143 (11.4%) | loss: 3.464148 | lrm: 0.89 | dt: 261ms | tok/sec: 1,006,159 | mfu: 42.6% | epoch: 1 | remaining: 265s    
step 00144 (11.5%) | loss: 3.452783 | lrm: 0.89 | dt: 257ms | tok/sec: 1,018,871 | mfu: 43.1% | epoch: 1 | remaining: 265s    
step 00145 (11.6%) | loss: 3.449076 | lrm: 0.89 | dt: 261ms | tok/sec: 1,004,075 | mfu: 42.5% | epoch: 1 | remaining: 265s    
step 00146 (11.7%) | loss: 3.452476 | lrm: 0.88 | dt: 259ms | tok/sec: 1,011,338 | mfu: 42.8% | epoch: 1 | remaining: 265s    
step 00147 (11.8%) | loss: 3.443689 | lrm: 0.88 | dt: 259ms | tok/sec: 1,012,252 | mfu: 42.8% | epoch: 1 | remaining: 264s    
step 00148 (11.9%) | loss: 3.443212 | lrm: 0.88 | dt: 261ms | tok/sec: 1,005,655 | mfu: 42.6% | epoch: 1 | remaining: 264s    
step 00149 (12.0%) | loss: 3.436547 | lrm: 0.88 | dt: 260ms | tok/sec: 1,007,883 | mfu: 42.7% | epoch: 1 | remaining: 264s    
step 00150 (12.0%) | loss: 3.433634 | lrm: 0.88 | dt: 260ms | tok/sec: 1,008,685 | mfu: 42.7% | epoch: 1 | remaining: 264s    
step 00151 (12.1%) | loss: 3.432754 | lrm: 0.88 | dt: 259ms | tok/sec: 1,013,839 | mfu: 42.9% | epoch: 1 | remaining: 263s    
step 00152 (12.2%) | loss: 3.429295 | lrm: 0.88 | dt: 260ms | tok/sec: 1,009,832 | mfu: 42.7% | epoch: 1 | remaining: 263s    
step 00153 (12.3%) | loss: 3.428582 | lrm: 0.88 | dt: 263ms | tok/sec: 996,816 | mfu: 42.2% | epoch: 1 | remaining: 263s    
step 00154 (12.4%) | loss: 3.429410 | lrm: 0.88 | dt: 258ms | tok/sec: 1,017,293 | mfu: 43.1% | epoch: 1 | remaining: 263s    
step 00155 (12.5%) | loss: 3.433096 | lrm: 0.88 | dt: 261ms | tok/sec: 1,004,097 | mfu: 42.5% | epoch: 1 | remaining: 262s    
step 00156 (12.6%) | loss: 3.435421 | lrm: 0.88 | dt: 259ms | tok/sec: 1,011,796 | mfu: 42.8% | epoch: 1 | remaining: 262s    
step 00157 (12.6%) | loss: 3.426307 | lrm: 0.87 | dt: 262ms | tok/sec: 1,000,152 | mfu: 42.3% | epoch: 1 | remaining: 262s    
step 00158 (12.7%) | loss: 3.420449 | lrm: 0.87 | dt: 259ms | tok/sec: 1,012,991 | mfu: 42.9% | epoch: 1 | remaining: 262s    
step 00159 (12.8%) | loss: 3.417085 | lrm: 0.87 | dt: 258ms | tok/sec: 1,015,014 | mfu: 43.0% | epoch: 1 | remaining: 261s    
step 00160 (12.9%) | loss: 3.414472 | lrm: 0.87 | dt: 261ms | tok/sec: 1,005,227 | mfu: 42.5% | epoch: 1 | remaining: 261s    
